sequence_id,kind,profile,baseline_rotation_deg,candidate_rotation_deg,baseline_translation_deg,candidate_translation_deg,baseline_vertical_p95_px,candidate_vertical_p95_px,candidate_core_runtime_seconds
control_004,control,rotation_balanced,0.009727052574030918,0.010285842215834232,0.0010344532765838442,0.0010344532765838442,0.02999512409390246,0.03515789060110923,0.06446502838796005
control_005,control,depth_critical_yaw,0.01217349685468594,0.011498473604330402,0.0002936497159152305,0.0002936497159152305,0.04259262877623635,0.038513587837158025,0.060677676532068285
control_006,control,translation_heavy,0.008483835472124446,0.0067645817040195766,8.109820709623822e-05,8.109820709623822e-05,0.030360691222478992,0.025491393147362568,0.08354233212419784
control_007,control,coupled,0.016303082711179466,0.014644427114566674,0.0006973139301221668,0.0006973139301221668,0.04438904744422191,0.04033420222616591,0.046565364852314814
control_008,control,rotation_balanced,0.011823707259273295,0.011680461433825215,0.0007665636604036462,0.0007665636604036462,0.03765916452085632,0.045081621327720284,0.05295144052291289
control_009,control,depth_critical_yaw,0.014874374820215894,0.009145448317500119,0.00018307575636669008,0.00018307575636669008,0.04760767806355782,0.03287906870207676,0.0679879064640263
slow_coupled_015,slow,coupled,0.03980210893696122,0.027544389442856438,0.13237817341653033,0.13237817341653033,0.27658023589709957,0.253556008946682,0.05948902176576666
slow_coupled_016,slow,coupled,0.03457899021628577,0.018707349875935756,0.10692909280156909,0.10692909280156909,0.19924852398608697,0.14073112925117265,0.05239238352968823
slow_coupled_017,slow,coupled,0.050267838122913,0.032809828964067325,0.11731517733536695,0.11731517733536695,0.247032702863488,0.19483252320991015,0.06407085520890542
slow_coupled_018,slow,coupled,0.061101941834664344,0.022928268656071636,0.13168191841987914,0.13168191841987914,0.33001873235513457,0.23278326029012147,0.05065220605942887
slow_coupled_019,slow,coupled,0.048181866256343193,0.023332025951768677,0.15004295894025962,0.15004295894025962,0.22296917129950192,0.15928953810242508,0.05274756335373968
slow_depth_critical_yaw_015,slow,depth_critical_yaw,0.045395112727695135,0.018806541916361753,0.0167018363976753,0.0167018363976753,0.18473421570736373,0.09118778030123247,0.06127648017252795
slow_depth_critical_yaw_016,slow,depth_critical_yaw,0.036205663150509014,0.02255633967205731,0.041973763288589185,0.041973763288589185,0.16188974871629194,0.10793677280998727,0.06376079315168318
slow_depth_critical_yaw_017,slow,depth_critical_yaw,0.045097520328273064,0.023899507941470853,0.01961865477945979,0.01961865477945979,0.1851366156364477,0.10389442272901842,0.05278319308476057
slow_depth_critical_yaw_018,slow,depth_critical_yaw,0.03703644397389673,0.020740235568828893,0.04242126662019306,0.04242126662019306,0.15284322490602026,0.0935758795822657,0.06176952204713598
slow_depth_critical_yaw_019,slow,depth_critical_yaw,0.04245787623045028,0.022643709945192884,0.03588641967664136,0.03588641967664136,0.1910710285189909,0.11858623054668936,0.062490222544758584
slow_rotation_balanced_015,slow,rotation_balanced,0.029465723760568763,0.0175040513406738,0.02456307225733,0.02456307225733,0.18104185830872085,0.13232460995076448,0.09871956062095706
slow_rotation_balanced_016,slow,rotation_balanced,0.03400018235802571,0.02194973734765593,0.02174582800929159,0.02174582800929159,0.17947858162074243,0.1390888472315234,0.07801510855427478
slow_rotation_balanced_017,slow,rotation_balanced,0.033620483658786754,0.018985995845308558,0.01997990325097055,0.01997990325097055,0.18507861772281187,0.1285820264628318,0.06809357192297465
slow_rotation_balanced_018,slow,rotation_balanced,0.05924324963368854,0.029967533403673936,0.03298523022412416,0.03298523022412416,0.2524660719670301,0.15684233281562115,0.053195342490333135
slow_rotation_balanced_019,slow,rotation_balanced,0.02833113280703331,0.018118485290546212,0.0159992019328645,0.0159992019328645,0.16984156324151944,0.1291627940139234,0.0681935986407334
slow_translation_heavy_015,slow,translation_heavy,0.04634384467734557,0.03106253740193135,0.1391362386190948,0.1391362386190948,0.3085911039625742,0.26272536993309964,0.06390926879679319
slow_translation_heavy_016,slow,translation_heavy,0.031219441701150593,0.020720994382950237,0.11540167944299777,0.11540167944299777,0.22253766412762524,0.17136274404892352,0.0680554886662867
slow_translation_heavy_017,slow,translation_heavy,0.05588497700472544,0.02867632670492924,0.07278437495212464,0.07278437495212464,0.23994841960135152,0.1569418979418243,0.05635890160198324
slow_translation_heavy_018,slow,translation_heavy,0.04688701549530912,0.028730901277000166,0.1881288082688975,0.1881288082688975,0.4074238620853092,0.36739350408936944,0.05415926625498105
slow_translation_heavy_019,slow,translation_heavy,0.020278841026039687,0.018801192163177608,0.12926262685714907,0.12926262685714907,0.16918477686589237,0.12298120186179139,0.06646980674297083
